"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2016-04-26","06:38:58","Frankfurt","10.165.154.23","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:58","Barbara","10.165.169.34","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:58","Barbara","10.165.169.34","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:58","Barbara","10.165.169.34","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:57","Barbara","10.165.169.34","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:57","Barbara","10.165.169.34","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:57","Barbara","10.165.169.34","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:46","Frankfurt","10.165.154.91","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:46","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:44","Frankfurt","10.165.154.91","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:44","Frankfurt","10.165.154.91","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:44","Frankfurt","10.165.154.91","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:44","Frankfurt","10.165.154.91","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:44","Frankfurt","10.165.154.91","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:25","Barbara","10.165.138.86","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:25","Barbara","10.165.138.86","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:25","Barbara","10.165.138.86","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:25","Barbara","10.165.138.86","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:25","Barbara","10.165.138.86","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:25","Barbara","10.165.138.86","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:13","DRAC Barbara ","10.164.127.47","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:38:13","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:37:41","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:37:20","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:37:20","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:37:20","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:37:19","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:37:19","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:37:08","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:59","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:59","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:59","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:58","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:58","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:56","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:55","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:55","Savannah 7th Floor B Users","10.167.17.37","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:53","Nashville","198.203.192.52","198.203.192.126","Blocked","comcadt.net","Malware"
"2016-04-26","06:36:32","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:16","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:16","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:16","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:12","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:12","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:12","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:09","Frankfurt","10.164.119.47","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:36:09","Frankfurt","10.164.119.47","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
